"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"2";"";"BC547B-NPN-TO92-CBE";"TO92-CBE";"T1, T2";"NPN Transistror";"";"";"";"";
"1";"";"C-EUC0805K";"C0805K";"C3";"CAPACITOR, European symbol";"";"";"";"";
"3";"";"LED3MM";"LED3MM";"LED1, LED2, LED3";"LED";"";"";"";"";
"1";"100k";"R-EU_R0805";"R0805";"R13";"RESISTOR, European symbol";"";"";"";"";
"1";"100n";"C-EU050-030X075";"C050-030X075";"C14";"CAPACITOR, European symbol";"";"";"";"";
"7";"10n";"C-EUC0805K";"C0805K";"C6, C7, C8, C9, C11, C12, C15";"CAPACITOR, European symbol";"";"";"";"";
"2";"10u";"C-EUC0805K";"C0805K";"C4, C5";"CAPACITOR, European symbol";"";"";"";"";
"4";"11k";"R-EU_R0805";"R0805";"R4, R6, R22, R23";"RESISTOR, European symbol";"";"";"";"";
"8";"120R";"R-EU_R0805";"R0805";"R8, R24, R44, R45, R47, R48, R49, R50";"RESISTOR, European symbol";"";"";"";"";
"3";"1M";"R-EU_R0805";"R0805";"R1, R2, R20";"RESISTOR, European symbol";"";"";"";"";
"2";"1N4007";"DIODE-DO41-10";"DO41-10";"D1, D2";"DIODE";"";"";"";"";
"21";"1R";"R-EU_R0805";"R0805";"R7, R16, R17, R18, R19, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R46";"RESISTOR, European symbol";"";"";"";"";
"1";"220u";"CPOL-EUE5-8.5";"E5-8,5";"C10";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"1";"25k";"R-TRIMMT18";"RTRIMT18";"R21";"Trimm resistor";"";"";"";"";
"10";"2k2";"R-EU_R0805";"R0805";"R3, R5, R10, R11, R14, R15, R25, R26, R27, R28";"RESISTOR, European symbol";"";"";"";"";
"2";"470n";"C-EUC0805K";"C0805K";"C1, C2";"CAPACITOR, European symbol";"";"";"";"";
"1";"470u";"CPOL-EUE5-8.5";"E5-8,5";"C13";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"1";"47k";"R-EU_R0805";"R0805";"R12";"RESISTOR, European symbol";"";"";"";"";
"1";"5k1";"R-EU_R0805";"R0805";"R9";"RESISTOR, European symbol";"";"";"";"";
"1";"BC557B";"BC557B";"TO92-EBC";"T3";"PNP Transistror";"";"";"";"";
"3";"LL4148";"D-SOD-80";"SOD80";"D3, D4, D5";"DIODE";"";"";"";"";
"4";"M3XXH";"M3XXH";"M3XXH";"K1, K2, K3, K4";"RELAY";"";"";"unknown";"unknown";
"4";"MOUNT-PAD-ROUND3.2";"MOUNT-PAD-ROUND3.2";"3,2-PAD";"H1, H2, H3, H4";"MOUNTING PAD, round";"";"";"";"";
"2";"NE555D";"NE555D";"SO08";"IC3, IC4";"TIMER";"";"";"";"";
"3";"SE13";"SE13";"SE13";"BAZE, EMITOR, KOLEKTOR";"SOLDER PAD E1542,  drill 1,3mm, distributor Buerklin, 07F815";"";"";"";"";
"8";"SMKDSP_1,5/2";"SMKDSP_1,5/2";"SMKDSP_1,5/2";"IB, IC, POT, TL, U12V, UBE, UCE1, UCE2";"Printklemme, Nennstrom: 17,5 A, Bemessungsspannung: 250 V, Raster: 5,0 mm";"FARNELL";"1733570";"3041244";"69C8588";
"1";"TLC271D";"TLC271D";"SO08";"IC5";"OP AMP";"";"";"";"";
"2";"TLC272D";"TLC272D";"SO08";"IC1, IC2";"OP AMP";"";"";"";"";
